"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"226",1507,1131,3,152,1191,957.09741317836,233.90258682164
"227",1661,1131,3,333,1390,965.736542546447,424.263457453553
"228",239,1090,3,194,787,956.168786163572,-169.168786163572
"229",207,1090,3,48,696,949.200206673293,-253.200206673293
"230",231,1138,3,211,750,960.414288047428,-210.414288047428
"231",1808,1131,3,332,530,965.688812549938,-435.688812549938
"232",1788,970,3,102,913,943.192396626749,-30.1923966267491
"233",1716,1131,3,134,690,956.238273241202,-266.238273241202
"234",992,1150,4,149,1220,950.444056620627,269.555943379373
"235",440,1090,3,139,912,953.54363635559,-41.5436363555904
"236",492,1090,3,37,838,948.675176711696,-110.675176711696
"237",1861,1131,3,47,1121,952.08576354494,168.91423645506
"238",1063,1150,4,77,1425,947.007496871996,477.992503128004
"239",934,1150,4,142,1168,950.109946645065,217.890053354935
"240",49,1068,3,102,1130,950.203667677463,179.796332322537
"241",1224,1150,4,209,1341,953.307856411153,387.692143588847
"242",565,654,2,233,818,934.706748839012,-116.706748839012
"243",2080,881,5,66,1066,919.367748682951,146.632251317049
"244",1498,1131,3,156,1191,957.288333164395,233.711666835605
"245",1665,1131,3,304,1415,964.352372647693,450.647627352307
"246",808,654,2,130,1122,929.79055919861,192.20944080139
"247",341,1090,3,139,641,953.54363635559,-312.54363635559
"248",1636,1131,3,326,1328,965.402432570885,362.597567429115
"249",774,654,2,257,1036,935.852268755223,100.147731244777
"250",593,654,2,149,1054,930.697429132276,123.302570867724
"251",970,1150,4,61,1191,946.243816927855,244.756183072145
"252",215,1090,3,48,700,949.200206673293,-249.200206673293
"253",1145,1150,4,230,708,954.310186337837,-246.310186337837
"254",254,1090,3,48,843,949.200206673293,-106.200206673293
"255",982,1150,4,116,1203,948.868966735837,254.131033264163
"256",243,1090,3,84,800,950.918486547608,-150.918486547608
"257",1066,1150,4,225,1433,954.071536355293,478.928463644707
"258",394,1090,3,139,981,953.54363635559,27.4563636444096
"259",1246,1150,4,215,870,953.594236390205,-83.5942363902053
"260",2091,881,5,86,1112,920.322348613127,191.677651386873
"261",2318,881,5,334,953,932.1593877473,20.8406122526996
"262",912,1150,4,251,1156,955.312516264521,200.687483735479
"263",537,654,2,130,750,929.79055919861,-179.79055919861
